0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001BC4B044CC0>,vaini,to,15.34,72.58,53,0,5.35,1518832750
<citipy.citipy.City object at 0x000001BC4B132FD0>,kodiak,us,39.95,26.6,58,1,3.36,1518828780
<citipy.citipy.City object at 0x000001BC4A833080>,marcona,pe,,,,,,
<citipy.citipy.City object at 0x000001BC49D785F8>,marsa matruh,eg,31.35,50,87,40,8.05,1518829200
<citipy.citipy.City object at 0x000001BC498D8A58>,cidreira,br,-30.17,69.75,79,20,13.29,1518832751
<citipy.citipy.City object at 0x000001BC4B1380F0>,nome,us,30.04,68.38,83,90,3.36,1518830100
<citipy.citipy.City object at 0x000001BC49F005F8>,tasiilaq,gl,65.61,26.6,79,0,2.24,1518828600
<citipy.citipy.City object at 0x000001BC49ACD320>,jian,cn,25.65,63.58,81,0,4.34,1518832752
<citipy.citipy.City object at 0x000001BC4A849B00>,mataura,pf,-46.19,65.38,61,56,17.38,1518832752
<citipy.citipy.City object at 0x000001BC49880470>,saint george,bm,39.45,37.4,86,0,5.82,1518828600
<citipy.citipy.City object at 0x000001BC4B5394A8>,springbok,za,-29.67,50.67,78,0,2.77,1518832753
<citipy.citipy.City object at 0x000001BC4A845F98>,atuona,pf,-9.8,80.59,100,64,15.08,1518832753
<citipy.citipy.City object at 0x000001BC49A53EF0>,sibiti,cg,-3.69,68.94,99,92,3.29,1518832753
<citipy.citipy.City object at 0x000001BC497CE390>,yeppoon,au,-23.13,91.4,52,40,8.05,1518831000
<citipy.citipy.City object at 0x000001BC4AE4E780>,mys shmidta,ru,,,,,,
<citipy.citipy.City object at 0x000001BC4A58C898>,kazalinsk,kz,,,,,,
<citipy.citipy.City object at 0x000001BC4A5EC6A0>,taolanaro,mg,,,,,,
<citipy.citipy.City object at 0x000001BC49A18FD0>,port hardy,ca,50.7,41,75,90,6.93,1518829200
<citipy.citipy.City object at 0x000001BC49D0BAC8>,zwiesel,de,49.01,16.92,80,48,2.28,1518832755
<citipy.citipy.City object at 0x000001BC49A8BDD8>,castro,cl,-42.48,61.56,94,80,5.75,1518832756
<citipy.citipy.City object at 0x000001BC4A0D4588>,loa janan,id,-0.58,88.24,67,24,2.84,1518832756
<citipy.citipy.City object at 0x000001BC49F00278>,qaanaaq,gl,77.48,-7.3,89,20,2.1,1518832756
<citipy.citipy.City object at 0x000001BC4A592C50>,temir,kz,49.14,-1.76,70,44,4.85,1518832685
<citipy.citipy.City object at 0x000001BC4AD5C5F8>,bukachacha,ru,52.99,0.31,49,0,3.4,1518832757
<citipy.citipy.City object at 0x000001BC4AFE7AC8>,eyl,so,7.98,72.27,100,92,14.58,1518832757
<citipy.citipy.City object at 0x000001BC4AE9C4A8>,pevek,ru,69.7,1.17,91,64,3.56,1518832757
<citipy.citipy.City object at 0x000001BC4978EF28>,ushuaia,ar,-54.81,50,81,20,19.46,1518829200
<citipy.citipy.City object at 0x000001BC4AD24D68>,amderma,ru,,,,,,
<citipy.citipy.City object at 0x000001BC49787D30>,mar del plata,ar,-46.43,69.43,54,0,5.01,1518832758
<citipy.citipy.City object at 0x000001BC497BE390>,hobart,au,-42.88,68,42,75,25.28,1518831000
<citipy.citipy.City object at 0x000001BC49EFDCC0>,illoqqortoormiut,gl,,,,,,
<citipy.citipy.City object at 0x000001BC499F9550>,haines junction,ca,60.75,-2.21,75,0,2.06,1518832759
<citipy.citipy.City object at 0x000001BC4AD45C50>,beringovskiy,ru,63.05,34.2,94,88,18.72,1518832759
<citipy.citipy.City object at 0x000001BC4B5298D0>,east london,za,-33.02,69.79,100,88,6.08,1518832760
<citipy.citipy.City object at 0x000001BC4AF5B748>,vitim,ru,59.44,0.63,71,56,6.58,1518832760
<citipy.citipy.City object at 0x000001BC4A3F07B8>,obama,jp,35.49,39.24,80,88,17.43,1518832760
<citipy.citipy.City object at 0x000001BC49A34668>,thompson,ca,55.74,3.2,59,75,9.17,1518829200
<citipy.citipy.City object at 0x000001BC4B132940>,barrow,us,-38.31,84.28,38,64,15.48,1518832761
<citipy.citipy.City object at 0x000001BC4AF44E80>,ust-omchug,ru,61.13,-10.72,65,20,3.51,1518832761
<citipy.citipy.City object at 0x000001BC497B5F98>,busselton,au,-33.64,75.64,85,8,10.38,1518832761
<citipy.citipy.City object at 0x000001BC4B157E80>,fortuna,us,38.18,48.2,100,0,4.7,1518831000
<citipy.citipy.City object at 0x000001BC4A439F28>,havre,us,48.55,23,85,20,6.93,1518832380
<citipy.citipy.City object at 0x000001BC4A7E4668>,ahipara,nz,-35.17,73.84,88,92,6.76,1518832762
<citipy.citipy.City object at 0x000001BC49A956A0>,punta arenas,cl,-53.16,50,53,0,3.36,1518829200
<citipy.citipy.City object at 0x000001BC4A2F9278>,grindavik,is,63.84,30.2,100,75,9.17,1518829200
<citipy.citipy.City object at 0x000001BC499D4588>,aklavik,ca,68.22,1.4,77,40,10.29,1518829200
<citipy.citipy.City object at 0x000001BC4A7FD0F0>,salalah,om,17.01,71.6,73,40,4.7,1518828600
<citipy.citipy.City object at 0x000001BC4AF193C8>,talnakh,ru,69.49,-2.62,85,68,11.9,1518832764
<citipy.citipy.City object at 0x000001BC49D52358>,puerto ayora,ec,-0.74,75.24,100,56,7.65,1518832764
<citipy.citipy.City object at 0x000001BC4A763D30>,nguru,ng,12.88,64.39,40,0,8.66,1518832764
<citipy.citipy.City object at 0x000001BC49B92588>,sevilla,co,37.39,47.82,100,90,8.05,1518831000
<citipy.citipy.City object at 0x000001BC497B1A20>,albany,au,42.65,33.84,58,90,18.34,1518831900
<citipy.citipy.City object at 0x000001BC4AEFFB70>,srednekolymsk,ru,67.46,-10.04,70,88,4.63,1518832765
<citipy.citipy.City object at 0x000001BC49D45978>,wahran,dz,,,,,,
<citipy.citipy.City object at 0x000001BC4A84B470>,rikitea,pf,-23.12,79.42,100,44,12.91,1518832766
<citipy.citipy.City object at 0x000001BC497FC438>,oistins,bb,13.07,75.2,83,40,14.99,1518829200
<citipy.citipy.City object at 0x000001BC4B52C9B0>,hermanus,za,-34.42,58.09,95,24,5.79,1518832766
<citipy.citipy.City object at 0x000001BC4AD6AE80>,cherskiy,ru,68.75,-7.75,93,64,3.33,1518832767
<citipy.citipy.City object at 0x000001BC4AFB29B0>,jamestown,sh,-33.21,79.24,71,8,4.23,1518832767
<citipy.citipy.City object at 0x000001BC4B07C128>,tounan,tw,,,,,,
<citipy.citipy.City object at 0x000001BC4A5D7E48>,gat,ly,14.69,72.45,55,76,12.06,1518832768
<citipy.citipy.City object at 0x000001BC4A64FD30>,cabo san lucas,mx,22.89,78.19,64,40,4.7,1518828420
<citipy.citipy.City object at 0x000001BC4A18C978>,dhone,in,15.4,75.06,44,0,4.52,1518832768
<citipy.citipy.City object at 0x000001BC4A683E48>,guerrero negro,mx,27.97,63,97,48,3.4,1518832768
<citipy.citipy.City object at 0x000001BC4A0FF470>,dingle,ie,11,83.47,77,0,10.11,1518832768
<citipy.citipy.City object at 0x000001BC499C3F60>,francistown,bw,-21.17,63.76,100,76,3.56,1518832769
<citipy.citipy.City object at 0x000001BC4B165908>,lompoc,us,34.64,60.87,44,1,10.29,1518831300
<citipy.citipy.City object at 0x000001BC4B535DD8>,saldanha,za,41.42,44.14,98,92,3.11,1518832769
<citipy.citipy.City object at 0x000001BC4B5028D0>,el limon,ve,10.3,75.2,78,20,2.62,1518829200
<citipy.citipy.City object at 0x000001BC49D56128>,santa lucia,ec,39.93,51.8,87,75,5.82,1518828900
<citipy.citipy.City object at 0x000001BC4AF547F0>,verkhnyaya inta,ru,65.99,15.39,70,88,7.76,1518832771
<citipy.citipy.City object at 0x000001BC4A5DA358>,misratah,ly,32.38,49.54,100,48,0.6,1518832771
<citipy.citipy.City object at 0x000001BC49A413C8>,yellowknife,ca,62.45,1.4,77,90,11.41,1518829200
